node_id:ID,name
a677,"Mitra, Siddha Mohana"
a678,"McMaster, John Bach"
a679,"Gatty, Alfred, Mrs."
a680,"Benson, Stella"
a681,"Miller, Alice Duer"
a682,"Mair, G. H. (George Herbert)"
a683,"Murray, Henry A. (Henry Anthony)"
a684,"Colman, Mrs. (Pamela Chandler)"
a685,"Wilson, John Mackay"
a686,"Lorentz, H. A. (Hendrik Antoon)"
a687,"Vernon Jones, V. S. (Vernon Stanley)"
a688,"Krishnamurti, J. (Jiddu)"
a689,"Cable, Boyd"
a690,"Lincoln, Joseph Crosby"
a691,"Bernhardi, Friedrich von"
a692,"McPherson, J. H. T. (John Hanson Thomas)"
a693,"Anderton, Thomas"
a694,"Cole, Herbert"
a695,"Tilton, George Henry"
a696,"Eberhard, Wolfram"
a697,"Doubleday, Russell"
a698,"Gaskell, Elizabeth Cleghorn"
a699,"Oppenheim, James"
a700,"Moffett, Cleveland"
a701,"Roe, E. T."
a702,"Besant, Annie"
a703,"Banks, Nancy Huston"
a704,"Dana, Richard Henry"
a705,"Minor, R. D."
a706,"Powell, E. Alexander (Edward Alexander)"
a707,"Ferber, Edna"
a708,"Yarrow, H. C. (Harry Crécy)"
a709,"Biddulph, J. (John)"
a710,"O'Brien, Frederick"
a711,"Marshall, Edison"
a712,"Woodhouse, Frederic W."
a713,"Holmes, Edric"
a714,"Williams, Albert Rhys"
a715,"Pye, Charles"
a716,"Mason, Eugene"
a717,"Lynde, Francis"
a718,"Burr, Agnes Rush"
a719,"Henry, Alice"
a720,"Church, Ella Rodman"
a721,"Brewer, Ebenezer Cobham"
a722,"Gould, Hannah Flagg"
a723,"Adams, M. H. (Mary Hall)"
a724,"Webster, Albert"
a725,"Mower, Sarah S."
a726,"Xavier, M."
a727,"Collins, W. Lucas (William Lucas)"
a728,"Carey, William"
a729,"Griffiths, Arthur"
a730,"Sturge, Joseph"
a731,"Fielding, Henry"
a732,"Collins, F. B."
a733,"Robinson, Albert G. (Albert Gardner)"
a734,"Booth-Tucker, Frederick St. George De Lautour"
a735,"Ralphson, G. Harvey (George Harvey)"
a736,"Collingwood, Stuart Dodgson"
a737,"Benezet, Anthony"
a738,"Phillips, Ulrich Bonnell"
a739,"Bain, F. W. (Francis William)"
a740,"Elton, Oliver"
a741,"United States. Bureau of the Census"
a742,"Beach, Rex"
a743,"Bacheller, Irving"
a744,"Leacock, Stephen"
a745,"Chesterton, G. K. (Gilbert Keith)"
a746,"Watson, Henry C. (Henry Clay)"
a747,"Potter, Elizabeth Gray"
a748,"Thompson, William"
a749,"Hole, William"
a750,"Shumway, Daniel Bussier"
a751,"Wood, Andrew Y."
a752,"Steele, Wilbur Daniel"
a753,"Bridges, T. C. (Thomas Charles)"
a754,"King, Grace Elizabeth"
a755,"Graves, J. A. (Jackson Alpheus)"
a756,"Morris, William"
